coords,sentiment
14.5893763/120.989705,-2
11.4899105/122.6771784,1
11.0695902/124.6700376,1
11.4899105/122.6771784,0
10.5470262/124.7434968,2
15.2383695/120.2311152,2
14.5018211/120.9786272,-2
10.3107867/123.9114563,0
10.3107867/123.9114563,0
10.2594754/123.7647381,1
14.5674476/121.0167613,1
10.6789404/122.4979499,0
10.6789404/122.4979499,2
11.1474093/123.7565237,1
13.2972454/121.8093115,0
11.184893193639939/124.99034691301765,-2
10.8629791/124.4028827,2
10.2594754/123.7647381,1
10.5470262/124.7434968,0
11.7375585/124.6748915,2
10.2594754/123.7647381,0
15.4294156/120.8751937,2
11.1474093/123.7565237,0
15.4294156/120.8751937,1
14.5893763/120.989705,2
10.3360323/124.7224949,1
10.2594754/123.7647381,2
10.0316062/124.8968816,0
10.6789404/122.4979499,1
11.1579655/124.6497584,1
14.602916070089636/121.04537850958587,0
14.5893763/120.989705,1
14.5893763/120.989705,1
10.5470262/124.7434968,0
11.1808072/124.8960325,0
14.5134816/120.9988804,-2
15.1120056/120.4977942,1
10.3360323/124.7224949,-2
10.3360323/124.7224949,2
10.3360323/124.7224949,0
10.3360323/124.7224949,1
10.3360323/124.7224949,1
10.2594754/123.7647381,0
14.542797/121.0518106,0
10.30787873/123.89399171,2
8.7765333/125.4480073,1
11.7375585/124.6748915,-2
10.5470262/124.7434968,0
9.0404895/122.6140433,0
11.2028176/125.4296279,0
